rating,date,coment_title,coment_description
5,10 noviembre 2016,Que bello lago,"Una preciosidad de lago, que bello es este lago realmente, lo disfrute con mi pareja, tomamos una excursión con Inca Lake, que valió la pena por muchas razones:
El lago, el guía, la comida en Tequila, muy hermoso todo, lo recmiendo!"
5,10 noviembre 2016,Gran Lago,Uno de los lagos más grandes del mundo y el navegable más alto del mundo. Vale mucho la pena navegar en él y visitar las ilsas. El lado peruano es MUCHO mejor que el boliviano.
4,9 noviembre 2016,Bella Vista,"Conociendo Puno, y el Lago Titicaca, es muy lindo, solo que le falta mas cuidado en su entorno, limpieza, las islas son otra cosa, pero el pueblo de puno debe tener mas preocupación sobre el cuidado del lago"
5,8 noviembre 2016,hermoso,"nos llevaron en un barquito navegando por el Lago Titicaca, es espectacular lo grande que es, conocimos las islas flotantes de totora LOs Uros"
5,3 noviembre 2016,relajación 100%,"Este es un lugar que vale la pena conocer en la vida y hacerlo bien, disfrutando cada lugar y las diferentes islas como los Uros y Taquille que se hacen en un día, la isla Suasi, Amantani,las islas del sol y la luna en el...Más"
5,3 noviembre 2016,Majestuoso,"La verdad que la magnitud del lago te deja sin aliento, más parece que miras un mar, sin duda alguna la mejor vista que he tenido hasta el momento."
4,3 noviembre 2016,Lago Normal,"El lago no es especial en sí, las Islas de los Uros son lo más especial de aquí, hay que verlas y estar ahí si se tiene el tiempo, el tour es extremadamente barato además, así que el tiempo es lo único que podría limitar tu visita, los Mercedes Benz (cómo llaman los locales a sus embarcaciones) son realmente lindas. "
5,3 noviembre 2016,Lago sagrado,"El lago mas impresionante del Peru, conocer la flora y fauna de este lugar único en el mundo con especies y paisajes de ensueños. aprovecha para visitar tambien sus islas."
5,2 noviembre 2016,maravilloso,El lago en realidad es impresionante nunca pensé que seria tan grande me quede realmente maravillada.
5,2 noviembre 2016,Isla Uros,"Excelente recibimiento, agradable y ameno, aparte la explicación de como conforman la islas flotantes es increíble."
5,2 noviembre 2016,Hermosa vivencia!,"Conocer la forma de vida de los pobladores es muy interesante y conmovedor. El lago es hermoso y la Isla Tambien,."
5,1 noviembre 2016,Experiencia inolvidable,"Es una experiencia inolvidable. Uno de los mayores atractivos de la ciudad. La primera parada obligada es la isla de los Uros, conocer el estilo de vida de sus habitantes es enriquecedor. Otra parada obligada es la isla de Taquile, donde además de conocer las...Más"
5,31 octubre 2016,Impresionante la inmensidad del lago,"Es un lago inmenso, una vez que se sale del puerto hay momentos al navegar que casi no se ve la costa, su color azulado es hermoso"
5,28 octubre 2016,Hermoso e imponente,Recomiendo hacer el recorrido en lancha rápida para aprovechar el tiempo en las islas. Las vistas y paisajes son alucinantes.
3,26 octubre 2016,Colores,Un lago en el cielo.. Lago binacional. Y muy bello la navegación a la isla flotante de Uros es corta y se aprovecha mucho el corto tiempo
5,22 octubre 2016,Impresionante,"El lago Titicaca (significa puma gris) es un ícono de la cultura Inca , pues es su creencia que de aqui salieron los fundadores de su casta .Imposible no conocerlo"
5,21 octubre 2016,Lago Titicaca un lugar maravilloso,"El lago Titicaca es un lugar maravilloso y tuve la suerte de tener un clima soleado cuando visite este maravilloso lugar, se encuentra aprox. 10 minutos de la plaza de armas. Se pueden realizar varias actividades: paseo en botes que dura unos 25 minutos con...Más"
5,20 octubre 2016,Lago Titicacac,"Un Lago azul inmenso, majestuoso
Me encanto la vista, muy relajante e infinita, Islas de diferentes tamaños.
Muy gratificante mi viaje."
5,19 octubre 2016,Bella experiencia,Desde que llegamos al puerto todo muy bien y muy lindo.... nos llevaron y nos explicaban que aves eran las que veíamos y por donde estabamos pasando..
4,19 octubre 2016,Conocer caracteristicas del Lago y las culturas que alberga,Una excursión en la que el relato de la significancia climatológicamente el lago en la región y para la gente que está cerca o vive en él y su historia. Esto es todo lo que le va explicando a uno el guía durante la travesía.
3,19 octubre 2016,Inmensidad,"El lago es inmenso, parece un mar. Recomiendo navegarloy visitar alguna de las islas. Con dos o tres horas esta bien, las excursiones que son de dia completo son una perdida de tiempo.Ademas de agua no hay nada mas."
4,18 octubre 2016,Bellisimo,"Lago inmenso, limpio, azul, con varias islas, del lado de Peru, destacable la de los Uros, Hay que adaptarse a la altura, pero hermoso panorama. Digno de conocerse"
5,18 octubre 2016,MARAVILLA DEL MUNDO,"Al sur de la capital del Perú esta esta bella ciudad de Puno en ella tenemos al Lago Titica, lugar al que e tenido la oportunidad de visitarlo en mas de una oportunidad, lo cual lo recomiendo a visitarlo, es bello apacible y que no...Más"
5,15 octubre 2016,Majestuoso y energético ,"Estuve con un grupo de 110 personas como organizadora del viaje, pero imperdible el levantarme temprano y ver el amanecer del lago es energético y mágico."
5,13 octubre 2016,Sumergiéndome en el Lago sagrado de los Incas,Exhuberante belleza lacustre con leyendas y misteriosas criaturas encontradas por Jena Costeu (francés)
5,10 octubre 2016,Un paseo muy interesante! ,Tomamos un tour de todo el día (7:00 am - 5:30 pm) que incluía las islas flotantes de Uros y Tequile. En Uros fue muy interesante conocer como es que hacen estas islas (no son naturales) y como la gente vive en ellas y es...Más
5,10 octubre 2016,IMPRESIONANTE,"No solo por el tamaño, la vegetación, los habitantes, el Lago Titicaca impresiona por los atardeceres y amaneceres donde los colores son espectaculares. Hay aves, totorales, y el reflejo de las nubes en el agua lo hace magico."
5,9 octubre 2016,Impresionantemente lindo,"vale la pena llegar a este lugar tan recóndito del planeta , el lago es imponente durante el amanecer."
5,7 octubre 2016,"Es un ""must""","Solo el trayecto para llegar aquí ya es lindo, cuando se va acercando realmente quedas con la boca abierta! El jefe de la isla te explica como construyen sus islas.
Venden artesanía, claro, más caro que en otros lugares pero algo hay que comprarles para...Más"
4,6 octubre 2016,El lago transitable mas alto del mundo,"Estando en el lago tienes la sensación de estar en un mar u océano, fantásticas islas flotantes, isla de amantí y Taquile"
5,5 octubre 2016,Lago Magico,"Este Lago es Magico, cuando uno va siente toda la energía que salen de sus aguas, esta rodeado de misterio y misticismo, pude quedar impresionado, al ver la extension, del lago, ya que tambien pase a tiahuanaco en Bolivia, y el lago parecia seguirme por...Más"
5,5 octubre 2016,Una Maravilla de Dios,"Es el lago mas alto del mundo y cuando estas en sus orillas te sientes como en el mar la frescura de la brisa en tu rostro es increíble y saber que estas a mas de 3800msnm le da un toque de leyenda.
definitivo que...Más"
5,4 octubre 2016,El lago más alto del mundo!,"Qué decir del Lago Titicaca? Pues es lo máximo! si te gusta disfrutar de la naturaleza, y quieres una tranquilidad única, se siente una paz completa cuando lo admiras...se los recomiendo!"
4,30 septiembre 2016,Bonito perooo,"Es muy chulo toda una experiencia navegar el lago navegable más alto del mundo!!! Y ver las costumbres etc
Pero esta tan turisteado que pierde la magia."
5,30 septiembre 2016,Peculiar,"Si vas de vacaciones a Perú, no puedes dejar pasar la ocasión de navegar por el Lago más alto del mundo.Puedes contratar la excursión en el puerto donde encontraréis muchas opciones: solo paseo, visitar las islas de los Uros e incluir también la isla Taquile....Más"
5,28 septiembre 2016,Increíble ,Vale la pena recorrerlo. Ir a Uros y Taquile es casi paso obligado pero no se van a arrepentir! No vale la pena contratar excursión privada salvo que quieran un guía privado todo el tiempo con uds haciendo de chaperon ya que todos van juntos...Más
3,28 septiembre 2016,Un lago inmenso y relajante,"El lago titicaca es la atracción principal de Puno, esta cerquísima del centro de la ciudad y puede ser visitado todo los días del año. Puede irse por us cuenta o con un tour que les haga recorrer varias islas y demás. Personalmente prefiero viajar...Más"
4,28 septiembre 2016,grandaso,"el lago es enorme enorme , hice un recorrido y las paradas en las islas , me impresiono ver que todas flotaban fue todo muy mágico y tuve unas vistas geniales."
4,28 septiembre 2016,azul,"un hermoso lugar que jamas olvidare . lleno de magia y misticismo, las personas en todas las islas que estuvimos fueron muy amables todo el tiempo enseñándonos un poco de ellos ."
4,27 septiembre 2016,hermoso y con muchas aves para los observadores.,Me gusto mucho su hábitat junto a la cantidad de aves presentes y las comunidades que viven en y cercanas a este lago.
4,25 septiembre 2016,Inmenso,El lago parece un mar. Desde la bahía de puno se parte hacer todas las excursiones que hay en el lado peruano. El lago es inmenso y nada mas salir de puno se adentra entre un mar de plantas de totoras. Nada mas atravesar el...Más
5,24 septiembre 2016,Vale la pena recorrerlo,"Conocimos el lago porque nuestro hotel estaba ubicado en sus orillas y la vista era hermosa. Luego al recorrerlo pudimos comprobar la transparencia del agua , los paisajes maravillosos que desde allí se avistan, en fin es un destino altamente recomendable."
5,23 septiembre 2016,El mejor acceso al Lago navegable más alto del mundo.,"Hermosas imágenes del Lago, cuya inmensidad llega a ser plena al viajar hacia la Isla de Tquile en lancha rápida. Hay muchas agencias que ofrecen tours para visitar las islas e incluso pernoctar en alguna de ellas. Visita obligada."
5,23 septiembre 2016,El Lago de aguas azules y cristalinas.,Hermosa experiencia recorrer apenas una pequeña parte de la gran extensión de este Lago y comprobar cuánta vida y misterio contiene
5,20 septiembre 2016,Una buena experiencia,Fuimos a ver las islas iros.luego fuimos a amantani donde nos quedamos adormir con una familia de allí viviendo como ellos. Fue una experiencia muy buena. Estando allí nos llevaron a conocer la isla y su forma de vida y aver el atardecer realmente bonito....Más
5,20 septiembre 2016,Hermoso,"Un lugar impresionante con una gran cultura y belleza natural, hay muchas cosas que hacer, se lo recomiendo"
5,14 septiembre 2016,Gran experiencia,"Lo recorrimos en un barco pequeño y el guía nos contó muchas historias y nos dio datos relevantes del lago, no te lo puedes perder si visitas Puno, vale mucho la pena."
5,14 septiembre 2016,Es una experiencia ùnica conocer este lago lleno de historia,Esta a 3.810metro sobre el nivel del mar y es muy importante para la zona que lo rodea y las civilizaciones que lo habitaron y aun lo habitan como las islas de los Uros hechas de totoras que flotan en el lago.Es algo maravilloso
5,13 septiembre 2016,Tranquilidad...,"Uno de los atractivos más relajentes, un clima seco, visitas las islas flotantes, necesitas de hoja de coca para la altura!!! Muy recomendado si eres curioso con los Uros (pobladores de las islas flotantes)."
5,11 septiembre 2016,IMPERDIBLE,visitamos el lago con amigos y fue una grandiosa experiencia. vale la pena el tiempo invertido. No olviden sus hojas de coca porque la altura surte efecto
4,25 septiembre 2016,Inmenso,El lago parece un mar. Desde la bahía de puno se parte hacer todas las excursiones que hay en el lado peruano. El lago es inmenso y nada mas salir de puno se adentra entre un mar de plantas de totoras. Nada mas atravesar el...Más
5,24 septiembre 2016,Vale la pena recorrerlo,"Conocimos el lago porque nuestro hotel estaba ubicado en sus orillas y la vista era hermosa. Luego al recorrerlo pudimos comprobar la transparencia del agua , los paisajes maravillosos que desde allí se avistan, en fin es un destino altamente recomendable."
4,27 agosto 2016,Aguas de vasta extensión en las alturas. ,"Visitar el lago más alto del mundo, sobre los 3800 msnm no deja de ser una actividad que genera bastantes expectativas.
Desde el lado peruano, el camino hacia Puno desde Arequipa esconde bellos paisajes entre curvas y subidas, la llegada al lago no deja de...Más"
4,25 agosto 2016,Muy bonito. No perderse un amanecer.,El lago es muy bonito. Ofrece unos coloridos amaneceres. La visita a las islas peruanas de los Uros es muy interesante. La navegación dentro del lago da la impresión de estar en un mar.
3,24 agosto 2016,grandioso,"es un lago enorme y muy bonito, pero que se empeñan en que lo recorras durante todo el día y creo que es una actividad para estar un rato y nada más"
4,23 agosto 2016,Hermoso pero muy explotado ,"Tratamos de pescar en el lago Titikaka y no hay peces!! Explotan con pesca en red para comercializar, es una tristeza, el gobierno peruano debería hacer algo para la regeneración del lago y la contaminación proveniente de los grandes hoteles al rededor."
5,23 agosto 2016,Recomendable,"Es una experiencia muy bonita, el Lago es muy grande, conocer la cultura de sus habitantes, como viven y poder compartir con ellos es algo inolvidable."
5,23 agosto 2016,"Fui a ver la comunidad de los Uros. Conmovedora experiencia. Gente increíble, super cordiales, experiencia inolvidable","Fui a ver la comunidad de los Uros. Conmovedora experiencia. Gente increíble, super cordiales, experiencia inolvidable"
5,21 agosto 2016,Hermoso!,"Impresionante el lago! Uno siempre lo ha escuchado desde el colegio y recién tuve la suerte de conocerlo. Sin embargo, hay que decir que le falta mucha infraestructura a todo Puno."
5,18 agosto 2016,Civilizacion Perdida,"No podia creer lo que estaba viendo y pisando. Un pueblo obligado a abandonar sus tierras, se sube en una barcas y con el paso del tiempo construyen un archipielago flotante, todo ello con los juncos del lago.
Nos recibieron con gran amabilidad, son el...Más"
5,17 agosto 2016,Es una maravilla de Perú y Bolivia.,"Según la explicación el lago es 60% de Perú y 40% de Bolivia, dentro de el hay muchas islas muy impactantes, la que me dejo sin aliento son las Islas de Uros, después de Machupicchu fue lo que más me gusto de mi viaje al...Más"
5,16 agosto 2016,Paseo a Uros,"La historia y la tradición de sus habitantes es increíble, es bastanta soleado, hay que llevar bloqueador.
Pasear en bote y disfrutar."
5,13 agosto 2016,El lago navegable más alto del mundo,"Es un sueño navegar aquí por la vista, las islas, las sensaciones, todo. En el lado peruano -donde estuve- hay dos partes muy marcadas, la bahía de Puno que es menos profunda y donde se encuentran los Uros y al salir de ella la parte...Más"
5,12 agosto 2016,gran vista,"Hermoso lugar, durante el dia puedes realizar tour dentro del lago. recomendable llevar lentes de sol, abrigo, bloqueador"
5,11 agosto 2016,Imperdible,"Viajamos desde Cusco, 10 horas en el bus turistico el cual recomiendo, luego ya en puno tomamos el tour del lago titicaca, islas flotantes y isla Taquile por 45 soles muy linda experiencia, para regresar cruz del sur 6 horas de viaje."
5,8 agosto 2016,Gingantesco.,"Por mucho que te cuentes o veas en fotos, no te puedes imaginar la dimensión de este lago navegable. Ocupa el mismo tamaño que Puerto Rico. Más que un lago, parece un mar donde no consigues ver dónde termina. En dos días navegandolo apenas verías...Más"
5,8 agosto 2016,Tiene algo...,"Es un lago, pero en unas condiciones únicas por su altura, a 4.000 metros así por las comunidades que lo pueblan.
La comunidad de los Uros y sus islas flotantes, la isla de Taquile o de Amantaní, todas ellas con sus habitantes que mantienen un...Más"
5,7 agosto 2016,Bello,El lago es tranquilo para la navegación y desde los barcos se aprecia la ciudad al regresar. Hermosa vistas.
5,7 agosto 2016,Impresionante ,"Siendo el lago navegable más alto del mundo, pues tener la oportunidad de navegando en bote o en kayak es todo un privilegio.
Recomendaría recorrerlo por el lado norte donde no hay tanta gente, ni tantas embarcaciones y puedes disfrutar de sus playas."
5,7 agosto 2016,No se lo pierdan!!!,"Tome un tour conjunto desde la Agencia del hotel (Casona Plaza) por el Lago Titicaca para visitar la isla de los Uros y Taquile. Esto lo pagamos con Despegar en cuotas y pesos argentinos.El tour era de día entero, nos recogieron en el hotel a las 6 am, salimos desde el puerto de puno primero hacia las islas de los Uros, visitamos 2 islas, en la primera aprendimos sobre su forma de vida, construcción de las islas flotantes con totoras, organización comunal, artesanías y comidas típicas. Al finalizar la primera visita, fuimos en sus barcos de totora hacia la otra isla, esto se pagaba aparte, algo así como 10 soles por persona. La segunda isla era solo un para comer algo, comprar aguas y artesanías. Increíble la visita y la forma de construcción de sus islas flotantes. La visita me encanto!Luego retomamos en viaje en nuestro barco a la isla de Taquile, duración del viaje 2.30 hs (por ratos interminable). Al llegar a la isla subimos una colina de dificultad media, recorrimos el pueblo, tuvimos tiempo libre para recorrer el centro de la ciudad y ver los tejidos artesanales, luego el grupo se junto y almorzamos todos juntos, en comedor tenia una vista increíble al lago, teníamos 2 menús para elegir (pollo o trucha), nosotras no lo teníamos incluido pagamos 40 soles por persona, si no recuerdo mal. Luego del almuerzo iniciamos el descenso por unas escalinatas, también dificultad media. Llegamos al hotel después de las 6 pm. Un viaje larguísimo.Puntos a favor: las vistas del lago que son diferentes a las de Bolivia, cerca de la costa se ven muchas aves y los flotantes de totora, conocer la islas de los Uros, la vista desde Taquile.Puntos en contra: el viaje en barco de mas de 2 horas para la ida y para la vuelta para llegar a Taquile, donde en verdad después de la vista y la trucha riquísima que comimos no había mucho mas. "
5,6 agosto 2016,Muy lindo!,"El lado de puno es el mas lindo! me ha gustado mucho y fue una buena época para ir, salio un sol increíble."
5,4 agosto 2016,Visita obligada,Es necesario venir hasta aquí para comprender todo lo impresionante que es. Una maravilla con muchas posibilidades para visitar y para hacer.
4,4 agosto 2016,Parada imprescindible en Perú,"Parada imprescindible en un tour por Perú.
No dejéis de visitar las islas de los Uros y Isla Taquile.
Puno principal puerto del lado peruano del lago no es muy bonita pero tiene hoteles y restaurantes para todos los bolsillos y todos los servicios que...Más"
5,4 agosto 2016,"Chulpas de Sillustani, Puno","Ubicado a 45 minutos de la ciudad de Puno se encuentran las Chullpas de Sillustani, que fueron utilizados en su momento como cementerios durante la época de los Incas...perfectas para visitarlas por la tarde y disfrutar de la maravillosa vista al lago Umayo, eso si...Más"
5,3 agosto 2016,Es una laguna muy majestuosa por su bella natural.,Es un sitio al cual la persona se concentra con la naturaleza por sus paisajes y sus nativos que viven hay.
5,3 agosto 2016,Hermoso,"EL lago Titicaca es uno de los más bonitos que van a ver en su estadia por el sur del Perú; vale la pena visitarlo, le recomiendo que tengan buen físico antes de venir ya que por temas de altura es bien arduo el trabajo...Más"
2,3 agosto 2016,Una gran decepción :(,"Uno piensa en el lago Titicaca y se imagina un lugar mágico y encantador... y llegas a Puno y encuentras un lago absolutamente contaminado y sucio. fuimos a visitar las islas de los Uros...que se han vendido a la industria turística, se ve todo preparado...Más"
5,1 agosto 2016,Un Hermoso Lago,Desde todo punto de vista vale la pena. El muy bello y la influencia de los distintos pueblos se manifiesta en los distintos lugares.
5,1 agosto 2016,Agradable,"Navegar por el Lago Titikaka fue una experiencia unica. La fauna, la flora, la tranquilidad que se siente, es algo mistico"
4,31 julio 2016,Excelente Tour por el lago Titicaca,"Fue increible poder vivir la experiencia de estar navegando en el lago más alto del mundo 3812 msnm, un lugar muy frio pero magico."
5,31 julio 2016,Lugar Mágico,"Realize una excursion de dos días una noche, una experiencia sin igual, viste las islas de Uros, Amantani y Taquile, navegar por el lago es increíble tienes una vista espectacular en las islas, para relajarte y conocer un lugar único en el mundo."
4,30 julio 2016,Disfrute mucho el conocer a los Uros.,"Un paseo en lancha es lo que hice para poder llegar a conocerlos, ninguna revista alcanza a describir su cultura hasta que estas ahí contemplándolos y platicando con ellos."
5,28 julio 2016,Lo mejor de Puno,"Nosotros hicimos la excursiòn del dìa completo a las islas Uros y la isla Taquile. Dudamos en un principio por la cantidad de horas pero realmente valiò la pena. La experiencia de visitar a los habitantes de las islas flotantes fue maravillosa, en un principio...Más"
5,25 julio 2016,Hermoso lugar,"Navegar en el lago mas alto del mundo es toda una experiencia, puedes apreciar la belleza de sus aguas y visitar sus islas, te recomiendo visitar las islas flotantes de los Uros y conocer como sus habitantes construyen sus islas y sus viviendas.
Vale la...Más"
5,23 julio 2016,Maravilla de la naturaleza,"Tener la posibilidad de visitar uno de los lagos más importantes de suramérica y conocer toda su historia es una experiencia maravillosa. Mientras se navega hacia alguna de las islas internas del lago, en la embarcación se conocerá toda la historia, mitos y leyendas al...Más"
5,18 julio 2016,"Puno como ciudad no es muy atractivo, pero las islas flotantes del Titicaca vale la pena al 100%","Estas islas flotantes es algo que jamás había visto. Habla de la innovación para construir con ramas y ""totora"". Tienen un sentido de comunidad y de organización social muy interesante. El guía que nos llevó además hablaba un perfecto inglés."
5,29 junio 2016,Lugar Magico,"Disfruto mucho de estar en el lago, transmite paz, la experiencia es increíble, la naturaleza, las aves, la totora las islas flotantes, se pierde el cielo con el lago, transmite mucha paz."
5,28 junio 2016,El misterioso lago azul y dorado sol que resplandece,"Me fascina ver el Titikaka tan tranquilo, tan especial y romántico, donde fluyen grandes ideas, paseando por la alameda hermosos patitos, y aves de alegre canto, bajo el agua ondulada peces libre . Me gustaría que las personas los dejaran de atrapar."
3,26 junio 2016,Uros e isla del sol,"Un lugar imponente que separa Peru de Bolivia, para destacar la isla de Uros (Peru) y la isla del sol (Bolivia)."
5,22 junio 2016,Islas flotantes y los Uros waliski,"Las historias pueden ser tan amenas como intrigantes pero él solo mencionar Titicaca trae y atrae, saca y pone conjeturas, respeto, vuelo y esa estraordinaria y fabulosa civilización aparece allí, al alcance de la vista y la memoria, con su gente que sonríe, nos dice...Más"
